step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
162,0,0.0,1,0,-1,-1,79,-1,-1.4630928,-1.51745,-0.58782166,-1.8138515,0.0,0.0,0.2792208,0.0
163,0,0.0,1,0,-1,-1,79,-1,-1.4630928,-1.51745,-0.58782166,-1.8138515,0.0,0.0,0.2792208,0.0
164,0,0.0,1,0,-1,-1,79,-1,-1.4630928,-1.51745,-0.58782166,-1.8138515,0.0,0.0,0.2792208,0.0
165,0,0.0,1,0,-1,-1,79,-1,-1.4630928,-1.51745,-0.58782166,-1.8138515,0.0,0.0,0.2792208,0.0
166,3,0.0,1,0,-1,-1,89,-1,-1.4630928,-1.51745,-0.3506693,-1.8138515,0.0,0.0,0.34415585,0.0
167,3,0.0,1,0,81,113,109,118,0.32546705,0.5023913,0.123635426,0.4695731,0.5466667,0.59067357,0.47402596,0.6165803
168,3,0.0,1,0,85,109,131,114,0.41271386,0.43151966,0.6453706,0.39281934,0.5733333,0.5699482,0.6168831,0.59585494
169,0,0.0,1,0,89,105,145,110,0.4999607,0.36064804,0.9773839,0.31606558,0.6,0.5492228,0.7077922,0.5751295
170,0,0.0,1,0,93,101,147,106,0.5872075,0.2897764,1.0248144,0.23931181,0.62666667,0.5284974,0.72077924,0.55440414
171,0,0.0,1,0,97,97,149,102,0.67445433,0.2189048,1.0722449,0.16255805,0.6533333,0.507772,0.73376626,0.53367877
172,0,0.0,1,0,101,93,149,98,0.76170117,0.14803316,1.0722449,0.085804276,0.68,0.48704663,0.73376626,0.51295334
173,2,0.0,1,0,105,89,139,94,0.84894794,0.07716154,0.8350925,0.009050506,0.70666665,0.46632123,0.66883117,0.49222797
174,2,0.0,1,0,109,85,117,90,0.9361948,0.006289916,0.31335732,-0.06770326,0.73333335,0.44559586,0.52597404,0.4715026
175,2,0.0,1,0,113,81,97,86,1.0234416,-0.06458171,-0.16094741,-0.14445703,0.76,0.42487046,0.3961039,0.4507772
176,0,0.0,1,0,117,77,83,82,1.1106884,-0.13545333,-0.49296072,-0.22121081,0.7866667,0.4041451,0.3051948,0.4300518
177,0,0.0,1,0,121,73,81,78,1.1979352,-0.20632495,-0.5403912,-0.29796457,0.81333333,0.3834197,0.29220778,0.40932643
178,0,0.0,1,0,125,69,79,74,1.2851821,-0.2771966,-0.58782166,-0.37471834,0.84,0.3626943,0.2792208,0.38860103
179,2,0.0,1,0,129,65,69,70,1.3724289,-0.3480682,-0.824974,-0.4514721,0.8666667,0.34196892,0.21428572,0.36787564
180,0,0.0,1,0,133,61,55,66,1.4596757,-0.41893983,-1.1569873,-0.5282259,0.8933333,0.32124352,0.12337662,0.34715027
181,0,0.0,1,0,137,57,53,62,1.5469226,-0.48981145,-1.2044178,-0.60497963,0.92,0.30051813,0.11038961,0.32642487
182,2,0.0,1,0,137,59,41,64,1.5469226,-0.45437562,-1.4890007,-0.56660277,0.92,0.31088084,0.032467533,0.33678755
183,0,0.0,1,0,133,67,37,70,1.4596757,-0.31263238,-1.5838616,-0.4514721,0.8933333,0.3523316,0.0064935065,0.36787564
184,0,0.0,1,0,129,75,36,78,1.3724289,-0.17088914,-1.6075768,-0.29796457,0.8666667,0.39378238,0.0,0.40932643
185,0,0.0,1,0,125,83,36,84,1.2851821,-0.029145896,-1.6075768,-0.18283392,0.84,0.43523315,0.0,0.44041452
186,0,0.0,1,0,121,91,36,92,1.1979352,0.112597354,-1.6075768,-0.02932638,0.81333333,0.47668394,0.0,0.4818653
187,0,0.0,1,0,117,99,36,98,1.1106884,0.2543406,-1.6075768,0.085804276,0.7866667,0.5181347,0.0,0.51295334
188,0,0.0,1,0,113,107,36,106,1.0234416,0.39608383,-1.6075768,0.23931181,0.76,0.5595855,0.0,0.55440414
189,0,0.0,1,0,109,115,36,112,0.9361948,0.5378271,-1.6075768,0.35444248,0.73333335,0.60103625,0.0,0.58549225
190,0,0.0,1,0,105,123,36,120,0.84894794,0.6795703,-1.6075768,0.50795,0.70666665,0.64248705,0.0,0.626943
191,0,0.0,1,0,101,131,36,126,0.76170117,0.82131356,-1.6075768,0.6230807,0.68,0.68393785,0.0,0.6580311
192,0,0.0,1,0,97,139,36,134,0.67445433,0.9630568,-1.6075768,0.7765882,0.6533333,0.7253886,0.0,0.69948184
