step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
163,0,0.0,0,0,23,175,119,166,-1.2248112,1.2158114,0.29205295,1.0108583,0.16438356,0.9072165,0.5302013,0.865285
164,0,0.0,0,0,23,183,119,174,-1.2248112,1.3621935,0.29205295,1.1647911,0.16438356,0.9484536,0.5302013,0.9067358
165,2,0.0,0,0,31,191,125,180,-1.027332,1.5085757,0.45312664,1.2802407,0.21917808,0.9896907,0.5704698,0.93782383
166,2,0.0,0,0,39,186,145,187,-0.8298528,1.4170868,0.9900389,1.4149319,0.2739726,0.96391755,0.70469797,0.97409326
167,0,0.0,0,0,47,178,155,186,-0.63237363,1.2707046,1.258495,1.3956903,0.32876712,0.92268044,0.7718121,0.96891195
168,0,0.0,0,0,55,170,159,178,-0.43489447,1.1243224,1.3658775,1.2417575,0.38356164,0.8814433,0.7986577,0.92746115
169,0,0.0,0,0,63,162,159,172,-0.23741528,0.97794026,1.3658775,1.1263078,0.43835616,0.8402062,0.7986577,0.89637303
170,1,0.0,0,0,71,154,149,164,-0.039936114,0.83155805,1.0974213,0.97237504,0.49315068,0.7989691,0.7315436,0.8549223
171,1,0.0,0,0,79,146,129,158,0.15754306,0.6851759,0.5605091,0.8569254,0.5479452,0.757732,0.59731543,0.8238342
172,1,0.0,0,0,87,138,107,150,0.35502222,0.5387937,-0.0300944,0.7029926,0.60273975,0.71649486,0.44966444,0.78238344
173,0,0.0,0,0,95,130,91,144,0.5525014,0.39241153,-0.4596242,0.587543,0.65753424,0.67525774,0.34228188,0.7512953
174,0,0.0,0,0,103,122,87,136,0.74998057,0.24602933,-0.56700665,0.43361017,0.7123288,0.6340206,0.31543624,0.7098446
175,0,0.0,0,0,111,114,85,130,0.94745976,0.09964714,-0.62069786,0.31816056,0.7671233,0.5927835,0.30201343,0.6787565
176,0,0.0,0,0,119,106,85,122,1.144939,-0.04673504,-0.62069786,0.16422774,0.82191783,0.5515464,0.30201343,0.6373057
177,0,0.0,0,0,127,98,85,116,1.3424181,-0.19311723,-0.62069786,0.04877812,0.8767123,0.5103093,0.30201343,0.6062176
178,0,0.0,0,0,135,90,85,108,1.5398973,-0.3394994,-0.62069786,-0.1051547,0.9315069,0.46907216,0.30201343,0.5647668
179,0,0.0,0,0,133,86,85,102,1.4905275,-0.41269052,-0.62069786,-0.22060432,0.91780823,0.4484536,0.30201343,0.53367877
180,0,0.0,0,0,121,86,85,94,1.1943088,-0.41269052,-0.62069786,-0.37453714,0.8356164,0.4484536,0.30201343,0.49222797
181,0,0.0,0,0,109,86,85,92,0.89808995,-0.41269052,-0.62069786,-0.41302034,0.75342464,0.4484536,0.30201343,0.4818653
182,0,0.0,0,0,97,86,85,92,0.6018712,-0.41269052,-0.62069786,-0.41302034,0.6712329,0.4484536,0.30201343,0.4818653
183,0,0.0,0,0,85,86,85,90,0.30565244,-0.41269052,-0.62069786,-0.45150355,0.5890411,0.4484536,0.30201343,0.4715026
184,0,0.0,0,0,73,86,85,90,0.009433679,-0.41269052,-0.62069786,-0.45150355,0.5068493,0.4484536,0.30201343,0.4715026
185,0,0.0,0,0,61,86,85,92,-0.28678507,-0.41269052,-0.62069786,-0.41302034,0.42465752,0.4484536,0.30201343,0.4818653
186,0,0.0,0,0,49,86,85,92,-0.5830038,-0.41269052,-0.62069786,-0.41302034,0.34246576,0.4484536,0.30201343,0.4818653
187,0,0.0,0,0,37,86,85,90,-0.8792226,-0.41269052,-0.62069786,-0.45150355,0.26027396,0.4484536,0.30201343,0.4715026
188,0,0.0,0,0,25,86,85,90,-1.1754414,-0.41269052,-0.62069786,-0.45150355,0.1780822,0.4484536,0.30201343,0.4715026
189,0,0.0,0,0,25,84,85,90,-1.1754414,-0.44928604,-0.62069786,-0.45150355,0.1780822,0.43814433,0.30201343,0.4715026
